,,,,,,,,
Table O21,,,,,,,,
"Australian electricity generation, by fuel type, physical units, 2024",,,,,,,,
,,,,,,,,
,NSW,VIC,QLD,WA,SA,TAS,NT,AUS
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Non-renewable fuels,,,,,,,,
Black coal,"45,812.6",,"42,884.1","7,694.7",,,,"96,391.4"
Brown coal,,"31,412.9",,,,,,"31,412.9"
Natural gas,"2,124.5","1,830.2","9,300.2","26,943.9","3,711.7",501.7,"4,432.0","48,844.2"
Oil products,594.6,205.5,"1,217.4","2,089.9",243.5,13.1,505.0,"4,869.1"
Total non-renewable,"48,531.6","33,448.7","53,401.7","36,728.5","3,955.2",514.8,"4,937.0","181,517.5"
,,,,,,,,
Renewable fuels,,,,,,,,
Biomass,"1,026.1",734.4,"1,442.9",92.9,88.9,35.8,8.8,"3,429.8"
Wind,"6,612.3","11,163.9","2,904.4","3,783.2","6,546.5","1,884.0",0.0,"32,894.3"
Hydro,"3,083.5","2,719.8","1,463.5",72.3,1.4,"6,889.2",0.0,"14,229.8"
Large-scale solar PV,"7,734.2","2,279.3","6,645.5","1,148.9","1,345.3",16.2,96.2,"19,265.6"
Small-scale solar PV,"9,858.5","5,925.9","8,932.0","3,754.6","3,428.5",386.1,297.7,"32,583.2"
Geothermal,,,,,,,,
Total renewable,"28,314.6","22,823.3","21,388.3","8,851.9","11,410.6","9,211.4",402.6,"102,402.6"
,,,,,,,,
Total,"76,846.2","56,271.9","74,790.0","45,580.3","15,365.8","9,726.2","5,339.6","283,920.2"
Per cent renewable generation,36.8,40.6,28.6,19.4,74.3,94.7,7.5,36.1
,,,,,,,,
Notes:,,,,,,,,
Totals may not add due to rounding.,,,,,,,,
