Financial Year,State_Code,State_Full_Name,Emissions
1990,ACT,Australian Capital Territory,1.1453
1991,ACT,Australian Capital Territory,1.2333
1992,ACT,Australian Capital Territory,1.1347
1993,ACT,Australian Capital Territory,1.1756
1994,ACT,Australian Capital Territory,1.4118
1995,ACT,Australian Capital Territory,1.1271
1996,ACT,Australian Capital Territory,1.2291
1997,ACT,Australian Capital Territory,1.126
1998,ACT,Australian Capital Territory,1.1532
1999,ACT,Australian Capital Territory,1.404
2000,ACT,Australian Capital Territory,1.2154
2001,ACT,Australian Capital Territory,1.122
2002,ACT,Australian Capital Territory,1.1929
2003,ACT,Australian Capital Territory,1.29
2004,ACT,Australian Capital Territory,1.6194
2005,ACT,Australian Capital Territory,1.4386
2006,ACT,Australian Capital Territory,1.5094
2007,ACT,Australian Capital Territory,1.3628
2008,ACT,Australian Capital Territory,1.337
2009,ACT,Australian Capital Territory,1.9886
2010,ACT,Australian Capital Territory,1.6551
2011,ACT,Australian Capital Territory,1.8258
2012,ACT,Australian Capital Territory,1.655
2013,ACT,Australian Capital Territory,1.5793
2014,ACT,Australian Capital Territory,1.5454
2015,ACT,Australian Capital Territory,1.6028
2016,ACT,Australian Capital Territory,1.4019
2017,ACT,Australian Capital Territory,1.4874
2018,ACT,Australian Capital Territory,1.2193
2019,ACT,Australian Capital Territory,1.2082
2020,ACT,Australian Capital Territory,1.1956
2021,ACT,Australian Capital Territory,1.3128
2022,ACT,Australian Capital Territory,1.2845
2023,ACT,Australian Capital Territory,1.3693
1990,NSW,New South Wales,169.0155
1991,NSW,New South Wales,156.3127
1992,NSW,New South Wales,156.5261
1993,NSW,New South Wales,141.1686
1994,NSW,New South Wales,142.9844
1995,NSW,New South Wales,133.9013
1996,NSW,New South Wales,127.7408
1997,NSW,New South Wales,127.4022
1998,NSW,New South Wales,132.5642
1999,NSW,New South Wales,139.2014
2000,NSW,New South Wales,148.4853
2001,NSW,New South Wales,150.3816
2002,NSW,New South Wales,152.4827
2003,NSW,New South Wales,147.0665
2004,NSW,New South Wales,148.3464
2005,NSW,New South Wales,151.8619
2006,NSW,New South Wales,163.7039
2007,NSW,New South Wales,158.7076
2008,NSW,New South Wales,156.2236
2009,NSW,New South Wales,151.9906
2010,NSW,New South Wales,151.6067
2011,NSW,New South Wales,149.5124
2012,NSW,New South Wales,145.7379
2013,NSW,New South Wales,134.7398
2014,NSW,New South Wales,136.6807
2015,NSW,New South Wales,129.0698
2016,NSW,New South Wales,119.8526
2017,NSW,New South Wales,139.3128
2018,NSW,New South Wales,133.307
2019,NSW,New South Wales,119.7997
2020,NSW,New South Wales,117.0917
2021,NSW,New South Wales,107.1344
2022,NSW,New South Wales,107.444
2023,NSW,New South Wales,114.4546
1990,NT,Northern Territory,18.9784
1991,NT,Northern Territory,20.4515
1992,NT,Northern Territory,22.9245
1993,NT,Northern Territory,21.6895
1994,NT,Northern Territory,22.5005
1995,NT,Northern Territory,24.5716
1996,NT,Northern Territory,26.9572
1997,NT,Northern Territory,24.6255
1998,NT,Northern Territory,27.4159
1999,NT,Northern Territory,25.6688
2000,NT,Northern Territory,27.9508
2001,NT,Northern Territory,22.5809
2002,NT,Northern Territory,20.9766
2003,NT,Northern Territory,20.2459
2004,NT,Northern Territory,11.6868
2005,NT,Northern Territory,11.9044
2006,NT,Northern Territory,18.4159
2007,NT,Northern Territory,19.4291
2008,NT,Northern Territory,15.1396
2009,NT,Northern Territory,20.1152
2010,NT,Northern Territory,15.3457
2011,NT,Northern Territory,12.4372
2012,NT,Northern Territory,9.8417
2013,NT,Northern Territory,12.9939
2014,NT,Northern Territory,15.5084
2015,NT,Northern Territory,12.8899
2016,NT,Northern Territory,14.6013
2017,NT,Northern Territory,16.3892
2018,NT,Northern Territory,12.8438
2019,NT,Northern Territory,20.2644
