Entity,Code,Year,Annual CO2 emissions,Country/Territory,2022 Population,Continent,Growth Rate,Emissions_per_Capita
Afghanistan,AFG,2022,12147948.0,Afghanistan,41128771,Asia,1.0257,0.2953637491380426
Albania,ALB,2022,4954730.0,Albania,2842321,Europe,0.9957,1.743198604239282
Algeria,DZA,2022,176345140.0,Algeria,44903225,Africa,1.0164,3.927226607888409
Andorra,AND,2022,368645.0,Andorra,79824,Europe,1.01,4.618222589697334
Angola,AGO,2022,16070269.0,Angola,35588987,Africa,1.0315,0.4515517398682913
Anguilla,AIA,2022,138967.0,Anguilla,15857,North America,1.0066,8.763763637510248
Antigua and Barbuda,ATG,2022,602192.0,Antigua and Barbuda,93763,North America,1.0058,6.422490747949618
Argentina,ARG,2022,192864430.0,Argentina,45510318,South America,1.0052,4.237817674664457
Armenia,ARM,2022,6407760.0,Armenia,2780469,Asia,0.9962,2.3045608492667964
Aruba,ABW,2022,865874.0,Aruba,106445,North America,0.9991,8.134473202123162
Australia,AUS,2022,392279260.0,Australia,26177413,Oceania,1.0099,14.985409750000889
Austria,AUT,2022,61488424.0,Austria,8939617,Europe,1.002,6.878194446137905
Azerbaijan,AZE,2022,38062656.0,Azerbaijan,10358074,Asia,1.0044,3.6746846952435366
Bahamas,BHS,2022,2120000.0,Bahamas,409984,North America,1.0051,5.170933499843897
Bahrain,BHR,2022,37795670.0,Bahrain,1472233,Asia,1.0061,25.672342625114368
Bangladesh,BGD,2022,102103340.0,Bangladesh,171186372,Asia,1.0108,0.5964454927521917
Barbados,BRB,2022,1232837.0,Barbados,281635,North America,1.0015,4.377428231576331
Belarus,BLR,2022,58801130.0,Belarus,9534954,Europe,0.9955,6.166902325905295
Belgium,BEL,2022,89605360.0,Belgium,11655930,Europe,1.0038,7.687534156433678
Belize,BLZ,2022,725231.0,Belize,405272,North America,1.0131,1.789491995499319
Benin,BEN,2022,8432160.0,Benin,13352864,Africa,1.0274,0.6314869978455558
Bermuda,BMU,2022,445408.0,Bermuda,64184,North America,1.0,6.939548797208027
Bhutan,BTN,2022,1055528.0,Bhutan,782455,Asia,1.0064,1.348995149880824
Bolivia,BOL,2022,21493740.0,Bolivia,12224110,South America,1.012,1.758307148741299
Bosnia and Herzegovina,BIH,2022,19735710.0,Bosnia and Herzegovina,3233526,Europe,0.9886,6.103464144095331
Botswana,BWA,2022,7467293.0,Botswana,2630296,Africa,1.0162,2.838955387530529
Brazil,BRA,2022,483477300.0,Brazil,215313498,South America,1.0046,2.2454574585008134
British Virgin Islands,VGB,2022,156784.0,British Virgin Islands,31305,North America,1.0059,5.008273438747804
Brunei,BRN,2022,10753688.0,Brunei,449002,Asia,1.0081,23.950200667257608
Bulgaria,BGR,2022,46147496.0,Bulgaria,6781953,Europe,0.9849,6.804455294809622
Burkina Faso,BFA,2022,5962168.0,Burkina Faso,22673762,Africa,1.0259,0.2629545110335021
Burundi,BDI,2022,798451.0,Burundi,12889576,Africa,1.027,0.06194548214774481
Cambodia,KHM,2022,19955042.0,Cambodia,16767842,Asia,1.0108,1.1900781269289156
Cameroon,CMR,2022,9572651.0,Cameroon,27914536,Africa,1.0263,0.3429271043588186
Canada,CAN,2022,547943900.0,Canada,38454327,North America,1.0078,14.249213098957629
Cape Verde,CPV,2022,568778.0,Cape Verde,593149,Africa,1.0089,0.9589125160794336
Central African Republic,CAF,2022,226226.0,Central African Republic,5579144,Africa,1.0224,0.040548514252365594
Chad,TCD,2022,2369204.0,Chad,17723315,Africa,1.0316,0.13367724943104606
Chile,CHL,2022,84377720.0,Chile,19603733,South America,1.0057,4.3041659463531765
China,CHN,2022,11396777000.0,China,1425887337,Asia,1.0,7.992761212101289
Colombia,COL,2022,99717870.0,Colombia,51874024,South America,1.0069,1.9223083599606616
Comoros,COM,2022,412760.0,Comoros,836774,Africa,1.0184,0.49327536467433264
Congo,COG,2022,7431930.0,Republic of the Congo,5970424,Africa,1.0231,1.244790989718653
Cook Islands,COK,2022,68043.0,Cook Islands,17011,Oceania,1.0005,3.9999412145082593
Costa Rica,CRI,2022,7888694.0,Costa Rica,5180829,North America,1.0052,1.5226702135893695
Cote d'Ivoire,CIV,2022,11734159.0,Ivory Coast,28160542,Africa,1.0248,0.41668796715631395
Croatia,HRV,2022,17526086.0,Croatia,4030358,Europe,0.9927,4.348518419455542
Cuba,CUB,2022,20921022.0,Cuba,11212191,North America,0.9961,1.8659173751142841
Curacao,CUW,2022,1756690.0,Curacao,191163,North America,1.0043,9.189487505427305
Cyprus,CYP,2022,7029358.0,Cyprus,1251488,Europe,1.0059,5.616800161088241
Czechia,CZE,2022,97969300.0,Czech Republic,10493986,Europe,0.9984,9.335756689593449
Democratic Republic of Congo,COD,2022,3601595.0,DR Congo,99010212,Africa,1.0325,0.03637599523572377
Denmark,DNK,2022,29059308.0,Denmark,5882261,Europe,1.0048,4.940159574694152
Djibouti,DJI,2022,453036.0,Djibouti,1120849,Africa,1.0138,0.40419003808719994
Dominica,DMA,2022,153220.0,Dominica,72737,North America,1.0045,2.1064932565269396
Dominican Republic,DOM,2022,23637946.0,Dominican Republic,11228821,North America,1.01,2.105113796007613
East Timor,TLS,2022,668892.0,Timor-Leste,1341296,Asia,1.0154,0.49869081843232216
Ecuador,ECU,2022,41613410.0,Ecuador,18001000,South America,1.0114,2.311727681795456
Egypt,EGY,2022,258951660.0,Egypt,110990103,Africa,1.0158,2.3331058626011005
El Salvador,SLV,2022,7714380.0,El Salvador,6336392,North America,1.0035,1.217472025089357
Equatorial Guinea,GNQ,2022,5076202.0,Equatorial Guinea,1674908,Africa,1.0247,3.0307348224499493
Eritrea,ERI,2022,696826.0,Eritrea,3684032,Africa,1.0176,0.18914765126904434
Estonia,EST,2022,10311845.0,Estonia,1326062,Europe,0.998,7.77629175709733
Eswatini,SWZ,2022,1265046.0,Eswatini,1201670,Africa,1.0079,1.0527399369211181
Ethiopia,ETH,2022,19073260.0,Ethiopia,123379924,Africa,1.0257,0.15458965593138152
Faroe Islands,FRO,2022,748133.0,Faroe Islands,53090,Europe,1.0038,14.0917875306084
Fiji,FJI,2022,1073925.0,Fiji,929766,Oceania,1.0056,1.155048689670304
Finland,FIN,2022,36163000.0,Finland,5540745,Europe,1.0009,6.526739635193462
France,FRA,2022,297533920.0,France,64626628,Europe,1.0015,4.60389052017382
French Polynesia,PYF,2022,873217.0,French Polynesia,306279,Oceania,1.0074,2.851050839267465
Gabon,GAB,2022,5705554.0,Gabon,2388992,Africa,1.0204,2.388268357533219
Gambia,GMB,2022,770472.0,Gambia,2705992,Africa,1.025,0.28472811449553437
Georgia,GEO,2022,11092909.0,Georgia,3744385,Asia,0.9964,2.9625449840227436
Germany,DEU,2022,665604700.0,Germany,83369843,Europe,0.9995,7.983758587622625
Ghana,GHA,2022,20806944.0,Ghana,33475870,Africa,1.0196,0.621550507873283
Greece,GRC,2022,59662764.0,Greece,10384971,Europe,0.9942,5.745106462020934
Greenland,GRL,2022,591718.0,Greenland,56466,North America,1.004,10.479191017603513
Grenada,GRD,2022,340416.0,Grenada,125438,North America,1.0066,2.7138187789983896
Guatemala,GTM,2022,19193244.0,Guatemala,17843908,North America,1.0134,1.0756188610701198
Guinea,GIN,2022,4953613.0,Guinea,13859341,Africa,1.0242,0.357420529590837
Guinea-Bissau,GNB,2022,326745.0,Guinea-Bissau,2105566,Africa,1.0218,0.15518155213372556
Guyana,GUY,2022,3537124.0,Guyana,808726,South America,1.0052,4.373698879472157
Haiti,HTI,2022,2446681.0,Haiti,11584996,North America,1.012,0.21119394430520305
Honduras,HND,2022,11159723.0,Honduras,10432860,North America,1.015,1.0696705409638392
Hong Kong,HKG,2022,30568888.0,Hong Kong,7488865,Asia,0.9992,4.081912012033866
Hungary,HUN,2022,44353616.0,Hungary,9967308,Europe,1.0265,4.44990924329819
Iceland,ISL,2022,3542503.0,Iceland,372899,Europe,1.0069,9.49989943657666
India,IND,2022,2829644300.0,India,1417173173,Asia,1.0068,1.9966820949693493
Indonesia,IDN,2022,728883260.0,Indonesia,275501339,Asia,1.0064,2.645661406386123
Iran,IRN,2022,690635260.0,Iran,88550570,Asia,1.0071,7.799331613562736
Iraq,IRQ,2022,179080800.0,Iraq,44496122,Asia,1.0221,4.024638371856316
Ireland,IRL,2022,38784012.0,Ireland,5023109,Europe,1.0073,7.721116941718765
Israel,ISR,2022,56118090.0,Israel,9038309,Asia,1.0155,6.2089147427909355
Italy,ITA,2022,338097280.0,Italy,59037474,Europe,0.9966,5.7268249654448296
Jamaica,JAM,2022,6487594.0,Jamaica,2827377,North America,0.9999,2.294562769662482
Japan,JPN,2022,1053797800.0,Japan,123951692,Asia,0.9947,8.501681445381157
Jordan,JOR,2022,22912578.0,Jordan,11285869,Asia,1.0123,2.030200598642426
Kazakhstan,KAZ,2022,271178270.0,Kazakhstan,19397998,Asia,1.0105,13.979703988009485
Kenya,KEN,2022,24851922.0,Kenya,54027487,Africa,1.0193,0.45998663606175133
Kiribati,KIR,2022,68043.0,Kiribati,131232,Oceania,1.0183,0.518493964886613
Kuwait,KWT,2022,109190000.0,Kuwait,4268873,Asia,1.0044,25.57817953356776
Kyrgyzstan,KGZ,2022,9449704.0,Kyrgyzstan,6630623,Asia,1.0158,1.4251608031402176
Laos,LAO,2022,23193406.0,Laos,7529475,Asia,1.0141,3.0803483642617846
Latvia,LVA,2022,6591454.0,Latvia,1850651,Europe,0.9876,3.561694776594831
Lebanon,LBN,2022,23904522.0,Lebanon,5489739,Asia,0.9816,4.354400455103603
Lesotho,LSO,2022,3134694.0,Lesotho,2305825,Africa,1.0107,1.3594674357334142
Liberia,LBR,2022,876934.0,Liberia,5302681,Africa,1.021,0.16537559019673256
Libya,LBY,2022,62961304.0,Libya,6812341,Africa,1.0114,9.242241984069793
Liechtenstein,LIE,2022,149934.0,Liechtenstein,39327,Europe,1.0074,3.8124952322831644
Lithuania,LTU,2022,12667216.0,Lithuania,2750055,Europe,0.9869,4.6061682402715585
Luxembourg,LUX,2022,7524108.0,Luxembourg,647599,Europe,1.0129,11.618467601092652
Macao,MAC,2022,1051646.0,Macau,695168,Asia,1.0125,1.5127940296446327
Madagascar,MDG,2022,4403593.0,Madagascar,29611714,Africa,1.0241,0.14871118233817873
Malawi,MWI,2022,2094072.1,Malawi,20405317,Africa,1.0259,0.10262384553986591
Malaysia,MYS,2022,291071360.0,Malaysia,33938221,Asia,1.0109,8.576506116805593
Maldives,MDV,2022,1701072.0,Maldives,523787,Asia,1.0045,3.2476407394608877
Mali,MLI,2022,7038757.0,Mali,22593590,Africa,1.0314,0.3115377857170994
Malta,MLT,2022,1655127.0,Malta,533286,Europe,1.0124,3.103638572923347
Marshall Islands,MHL,2022,151206.0,Marshall Islands,41569,Oceania,0.9886,3.637470230219635
Mauritania,MRT,2022,4534088.0,Mauritania,4736139,Africa,1.0263,0.9573384564937811
Mauritius,MUS,2022,4249021.0,Mauritius,1299469,Africa,1.0004,3.2698132852726767
Mexico,MEX,2022,511971970.0,Mexico,127504125,North America,1.0063,4.015336523426203
Micronesia (country),FSM,2022,151206.0,Micronesia,114164,Oceania,1.0091,1.3244630531516064
Moldova,MDA,2022,5422021.0,Moldova,3272996,Europe,1.0691,1.6565926142286762
Mongolia,MNG,2022,37894484.0,Mongolia,3398366,Asia,1.0151,11.15079541167726
Montenegro,MNE,2022,2292498.0,Montenegro,627082,Europe,0.9988,3.6558185372885843
Montserrat,MSR,2022,21380.0,Montserrat,4390,North America,0.9939,4.8701594533029615
Morocco,MAR,2022,68411810.0,Morocco,37457971,Africa,1.0103,1.8263618710153842
Mozambique,MOZ,2022,8003215.0,Mozambique,32969517,Africa,1.0278,0.2427458976726896
Myanmar,MMR,2022,34922210.0,Myanmar,54179306,Asia,1.0071,0.6445673187471246
Namibia,NAM,2022,3952970.0,Namibia,2567012,Africa,1.0146,1.5399109937935622
Nauru,NRU,2022,52922.0,Nauru,12668,Oceania,1.0125,4.1776128828544365
Nepal,NPL,2022,15499952.0,Nepal,30547580,Asia,1.0171,0.5074035979282155
Netherlands,NLD,2022,125358230.0,Netherlands,17564014,Europe,1.0036,7.137219886069324
New Caledonia,NCL,2022,5115215.0,New Caledonia,289950,Oceania,1.0075,17.641714088635972
New Zealand,NZL,2022,32211814.0,New Zealand,5185288,Oceania,1.0108,6.212155236121889
Nicaragua,NIC,2022,5550354.0,Nicaragua,6948392,North America,1.0143,0.7987969014989368
Niger,NER,2022,3058157.0,Niger,26207977,Africa,1.0378,0.11668802212395105
Nigeria,NGA,2022,128759470.0,Nigeria,218541212,Africa,1.0241,0.5891770656053651
Niue,NIU,2022,7560.0,Niue,1934,Oceania,0.9985,3.9089968976215097
North Korea,PRK,2022,50871636.0,North Korea,26069416,Asia,1.0038,1.9513914696056098
North Macedonia,MKD,2022,7588422.0,North Macedonia,2093599,Europe,0.9954,3.6245823579396053
Norway,NOR,2022,40808000.0,Norway,5434319,Europe,1.0058,7.509312574399846
Oman,OMN,2022,71986390.0,Oman,4576298,Asia,1.0123,15.730267128582973
Pakistan,PAK,2022,200199900.0,Pakistan,235824862,Asia,1.0191,0.8489346640643852
Palau,PLW,2022,219249.0,Palau,18055,Oceania,1.0017,12.143395181390197
Palestine,PSE,2022,3496896.0,Palestine,5250072,Asia,1.0227,0.6660662939479687
