Entity,Code,Year,Annual_CO2_emissions,Population,Continent,Emissions_per_Capita
Afghanistan,AFG,1970,1670397.0,10752971,Asia,0.15534283501741053
Albania,ALB,1970,3739486.0,2324731,Europe,1.608567184762452
Algeria,DZA,1970,15058960.0,13795915,Africa,1.0915521007486637
Andorra,AND,1970,0.0,19860,Europe,0.0
Angola,AGO,1970,3577917.0,6029700,Africa,0.5933822578237723
Antigua and Barbuda,ATG,1970,461664.0,64516,North America,7.155806311612623
Argentina,ARG,1970,82648000.0,23842803,South America,3.4663709631791195
Armenia,ARM,1970,5180804.0,2534377,Asia,2.0442120489571995
Aruba,ABW,1970,928761.0,59106,North America,15.713480864886813
Australia,AUS,1970,147861020.0,12595034,Oceania,11.739628491673782
Austria,AUT,1970,50631700.0,7465301,Europe,6.782271739612375
Azerbaijan,AZE,1970,31105304.0,5425317,Asia,5.733361571314635
Bahamas,BHS,1970,2568770.0,179129,North America,14.340335735698854
Bahrain,BHR,1970,2590448.0,222555,Asia,11.639585720383725
Bangladesh,BGD,1970,3803195.0,67541860,Asia,0.056308709887468306
Barbados,BRB,1970,428688.0,241397,North America,1.7758629974688998
Belarus,BLR,1970,65798090.0,9170786,Europe,7.174749252681286
Belgium,BEL,1970,125490456.0,9629376,Europe,13.032044444001356
Belize,BLZ,1970,120912.0,120905,North America,1.000057896695753
Benin,BEN,1970,282128.0,3023443,Africa,0.09331348399820999
Bermuda,BMU,1970,227168.0,52019,North America,4.367019742786289
Bhutan,BTN,1970,3664.0,298894,Asia,0.012258526434120457
Bolivia,BOL,1970,2483717.0,4585693,South America,0.5416230436708258
Bosnia and Herzegovina,BIH,1970,10905834.0,3815561,Europe,2.8582517747717833
Brazil,BRA,1970,93488200.0,96369875,South America,0.9700977613595535
British Virgin Islands,VGB,1970,18320.0,9581,North America,1.9121177330132555
Brunei,BRN,1970,8203696.5,133343,Asia,61.52326331340978
Bulgaria,BGR,1970,61173972.0,8582950,Europe,7.127383009338281
