Quarterly Update of Australia's National Greenhouse Gas Inventory | Figures and Tables for the March Quarter 2025,,,,,,,
Click here to return to contents page,,,,,,,
,,,,,,,
"Figure 4a: Percentage change in emissions, by sector, since year to June 2005 (excluding LULUCF)",,,,,,,
Units:,% change,,,,,,
Year,Electricity,Stationary energy excluding electricity,Transport,Fugitive emissions,Industrial processes and product use,Agriculture,Waste
2005,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2006,1.7%,-0.4%,1.1%,1.6%,1.5%,-0.9%,-1.2%
2007,3.4%,-0.1%,3.2%,7.3%,6.8%,-4.3%,0.3%
2008,4.4%,2.4%,5.4%,7.9%,8.4%,-7.6%,3.4%
2009,6.8%,3.2%,6.1%,7.8%,5.0%,-8.5%,3.2%
2010,5.2%,1.3%,7.5%,6.1%,6.4%,-10.7%,2.3%
2011,1.8%,4.7%,10.3%,4.0%,14.3%,-7.6%,-0.1%
2012,1.9%,7.8%,12.2%,4.7%,8.5%,-5.1%,-7.2%
2013,-4.1%,11.8%,12.9%,6.2%,-0.1%,-4.4%,-14.1%
2014,-7.3%,16.1%,13.7%,4.4%,-1.3%,-4.0%,-15.8%
2015,-4.8%,9.0%,15.5%,10.6%,0.4%,-6.7%,-18.3%
2016,-1.5%,11.0%,17.1%,18.2%,1.7%,-8.8%,-17.3%
2017,-3.8%,14.5%,17.6%,25.1%,3.1%,-5.4%,-15.7%
2018,-5.2%,18.3%,21.5%,30.0%,4.2%,-4.9%,-17.7%
2019,-8.0%,20.7%,22.4%,35.4%,7.5%,-10.6%,-16.4%
2020,-11.6%,23.0%,19.9%,31.0%,6.7%,-14.2%,-14.6%
2021,-16.8%,23.1%,4.3%,19.2%,7.7%,-10.6%,-13.8%
2022,-19.5%,26.5%,9.9%,15.8%,9.2%,-8.4%,-11.4%
2023,-22.1%,22.6%,16.9%,14.6%,9.3%,-5.8%,-11.8%
2024,-23.4%,21.0%,19.9%,10.7%,4.5%,-6.9%,-12.2%
2025,-23.8%,17.7%,20.6%,8.3%,-0.4%,-8.0%,-12.2%
