latitude,longitude,total_frp,avg_frp,max_frp,fire_count,avg_brightness,max_brightness,acq_datetime_min,acq_datetime_max,fire_intensity_score
-43.2,147.0,8.3,8.3,8.3,1,341.3,341.3,2019-10-12 03:30:00,2019-10-12 03:30:00,0.0
-43.2,147.05,0.5,0.5,0.5,1,296.4,296.4,2019-10-12 14:54:00,2019-10-12 14:54:00,0.0
-43.150000000000006,147.75,6.8,1.36,2.6,5,306.56,311.5,2019-10-14 14:18:00,2019-10-14 16:00:00,0.0
-43.1,146.6,10.7,10.7,10.7,1,313.6,313.6,2020-01-09 00:05:00,2020-01-09 00:05:00,0.0
-43.1,146.95000000000002,25.2,8.4,11.2,3,340.03,346.7,2019-10-13 03:12:00,2019-10-13 04:54:00,0.0
-43.1,147.0,0.6,0.6,0.6,1,299.5,299.5,2019-09-23 14:14:00,2019-09-23 14:14:00,0.0
-43.050000000000004,146.95000000000002,36.7,9.18,21.1,4,345.12,367.0,2019-10-23 03:24:00,2019-10-23 05:06:00,0.0
-43.050000000000004,147.25,5.4,2.7,3.1,2,329.05,331.1,2019-10-29 03:12:00,2019-10-29 03:12:00,0.0
-43.050000000000004,147.75,2.1,1.05,1.3,2,302.2,308.0,2019-09-13 14:02:00,2019-09-13 14:02:00,0.0
-43.0,146.95000000000002,2.4,2.4,2.4,1,325.8,325.8,2019-10-05 04:06:00,2019-10-05 04:06:00,0.0
-43.0,147.65,7.2,2.4,4.5,3,311.77,326.5,2019-09-12 02:56:00,2019-09-13 14:02:00,0.0
-42.95,147.1,5.2,2.6,2.8,2,328.8,330.2,2019-10-21 04:06:00,2019-10-21 04:06:00,0.0
-42.85,147.0,203.3,9.68,42.9,21,322.96,367.0,2019-10-29 03:12:00,2019-10-31 15:42:00,0.2
-42.85,147.20000000000002,50.9,12.73,21.6,4,331.12,341.5,2020-01-02 04:15:00,2020-01-02 04:36:00,0.1
-42.85,147.45000000000002,3.2,1.6,2.6,2,317.25,330.7,2019-09-03 04:06:00,2019-09-11 14:39:00,0.0
-42.85,147.70000000000002,2.0,2.0,2.0,1,317.0,317.0,2019-09-04 15:11:00,2019-09-04 15:11:00,0.0
-42.85,147.75,2.4,2.4,2.4,1,325.9,325.9,2019-09-26 03:34:00,2019-09-26 03:34:00,0.0
-42.800000000000004,147.0,5.4,2.7,3.5,2,326.8,339.8,2019-10-29 14:36:00,2019-10-30 04:36:00,0.0
-42.75,146.85,12.1,4.03,9.9,3,320.9,353.9,2019-09-30 15:23:00,2019-10-01 03:36:00,0.0
-42.75,147.70000000000002,314.5,52.42,188.4,6,343.13,385.7,2019-09-03 04:06:00,2019-09-05 05:08:00,0.4
-42.75,147.75,3.0,3.0,3.0,1,329.4,329.4,2019-09-03 04:06:00,2019-09-03 04:06:00,0.0
-42.7,146.05,84.6,4.03,19.9,21,318.06,340.0,2019-12-20 15:00:00,2019-12-22 16:06:00,0.1
-42.7,146.85,12.0,3.0,5.5,4,314.58,331.5,2019-09-07 14:14:00,2019-10-21 04:06:00,0.0
-42.7,146.9,8.1,4.05,4.8,2,330.95,332.4,2019-09-30 03:59:00,2019-10-23 03:24:00,0.0
-42.7,147.70000000000002,12.3,3.08,4.1,4,322.4,334.1,2019-09-14 15:23:00,2019-10-01 03:36:00,0.0
-42.650000000000006,145.55,1148.7,34.81,296.6,33,345.12,407.3,2019-09-19 04:06:00,2019-09-19 04:21:00,1.3
-42.650000000000006,145.6,1552.0,70.55,298.4,22,350.26,406.7,2019-09-19 04:06:00,2019-09-19 15:30:00,1.7
-42.650000000000006,146.05,52.8,4.8,12.0,11,318.99,336.9,2019-12-22 04:33:00,2019-12-22 16:06:00,0.1
